epoch,phase,loss,dice_mean,dice_wt,dice_tc,dice_et,hd95_mean,hd95_wt,hd95_tc,hd95_et,iou_mean,iou_wt,iou_tc,iou_et,lr
1,train,1.344105,0.564315,0.658684,0.55711,0.573276,0.0,0.0,0.0,0.0,0.438217,0.537961,0.431929,0.446264,0.0001
1,val,1.199079,0.685045,0.655048,0.667021,0.701468,33.87442,57.400486,35.274837,32.675171,0.559549,0.525326,0.541903,0.575409,0.0001
2,train,1.111243,0.653102,0.786499,0.638372,0.669457,0.0,0.0,0.0,0.0,0.524939,0.675472,0.510231,0.541583,0.0001
2,val,1.037534,0.679601,0.786678,0.651713,0.706451,20.342142,37.04541,22.306047,18.411407,0.552751,0.678896,0.527074,0.577413,0.0001
3,train,0.969251,0.665661,0.815242,0.656291,0.677132,0.0,0.0,0.0,0.0,0.539782,0.713167,0.532638,0.54929,0.0001
3,val,0.896998,0.620146,0.818405,0.617375,0.621403,29.352688,23.170652,30.856319,27.981876,0.48719,0.719814,0.489178,0.483744,0.0001
4,train,0.816126,0.682825,0.856133,0.681563,0.686578,0.0,0.0,0.0,0.0,0.558006,0.767173,0.56028,0.558535,0.0001
4,val,0.729041,0.722225,0.864325,0.756417,0.686904,22.237707,20.316526,22.320551,22.261301,0.603109,0.785202,0.650561,0.554527,0.0001
5,train,0.627662,0.7307,0.879505,0.748292,0.716343,0.0,0.0,0.0,0.0,0.616481,0.799596,0.640707,0.596094,0.0001
5,val,0.518844,0.74838,0.889453,0.746152,0.749979,10.577137,10.104892,11.845818,9.263032,0.6324,0.818518,0.635845,0.628361,0.0001
6,train,0.418756,0.793768,0.894108,0.809327,0.782576,0.0,0.0,0.0,0.0,0.69467,0.820096,0.717053,0.677397,0.0001
6,val,0.338557,0.784945,0.883322,0.79325,0.77648,10.380317,10.40288,11.377068,9.352736,0.683952,0.807924,0.701673,0.666302,0.0001
7,train,0.281795,0.821375,0.898484,0.834981,0.813119,0.0,0.0,0.0,0.0,0.731629,0.826711,0.752394,0.717282,0.0001
7,val,0.23029,0.846468,0.890455,0.855235,0.838671,7.518975,11.293234,8.428185,6.543162,0.763122,0.820413,0.780318,0.747473,0.0001
8,train,0.206638,0.844793,0.905614,0.861624,0.83482,0.0,0.0,0.0,0.0,0.762277,0.837289,0.787051,0.745446,0.0001
8,val,0.179086,0.861582,0.9094,0.874403,0.850046,6.106201,7.959058,6.196251,5.552306,0.78449,0.846251,0.806187,0.764747,0.0001
9,train,0.169707,0.852805,0.909923,0.869207,0.842011,0.0,0.0,0.0,0.0,0.773249,0.843378,0.79839,0.754855,0.0001
9,val,0.198445,0.805198,0.872415,0.820642,0.789893,13.26844,17.047888,14.196313,12.32483,0.715768,0.797336,0.745235,0.686795,0.0001
10,train,0.156109,0.848576,0.907335,0.862996,0.841915,0.0,0.0,0.0,0.0,0.769139,0.839513,0.791968,0.755015,0.0001
